,metabolite_id,pH,amount,amount_units,reference,solvent,hmdb_experiment_number,bmrb_accession,database_of_origin,database_of_origin_id
SA:3592,SU:1580,,,,,,,bmse000540,GISSMO,bmse000540
SA:3593,SU:1595,,,,,,,bmse000554,GISSMO,bmse000554
SA:3594,SU:256,,,,,,,bmse000583,GISSMO,bmse000583
SA:3595,SU:971,,,,,,,bmse000597,GISSMO,bmse000597
SA:3596,SU:1536,,,,,,,bmse000742,GISSMO,bmse000742
SA:3597,SU:101,,,,,,,bmse000030,GISSMO,bmse000030
SA:3598,SU:1578,,,,,,,bmse000781,GISSMO,bmse000781
SA:3599,SU:1591,,,,,,,bmse000795,GISSMO,bmse000795
SA:3600,SU:1621,,,,,,,bmse000794,GISSMO,bmse000794
SA:3601,SU:1526,,,,,,,bmse000780,GISSMO,bmse000780
SA:3602,SU:160,,,,,,,bmse000757,GISSMO,bmse000757
SA:3603,SU:114,,,,,,,bmse000031,GISSMO,bmse000031
SA:3604,SU:1935,,,,,,,bmse000025,GISSMO,bmse000025
SA:3605,SU:594,,,,,,,bmse000743,GISSMO,bmse000743
SA:3606,SU:1445,,,,,,,bmse000019,GISSMO,bmse000019
SA:3607,SU:958,,,,,,,bmse000582,GISSMO,bmse000582
SA:3608,SU:18,,,,,,,bmse000227,GISSMO,bmse000227
SA:3609,SU:75,,,,,,,bmse000384,GISSMO,bmse000384
SA:3610,SU:1992,,,,,,,bmse000390,GISSMO,bmse000390
SA:3611,SU:759,,,,,,,bmse000347,GISSMO,bmse000347
SA:3612,SU:1706,,,,,,,bmse000421,GISSMO,bmse000421
SA:3613,SU:296,,,,,,,bmse000435,GISSMO,bmse000435
SA:3614,SU:325,,,,,,,bmse000409,GISSMO,bmse000409
SA:3615,SU:1673,,,,,,,bmse000623,GISSMO,bmse000623
SA:3616,SU:1993,,,,,,,bmse000145,GISSMO,bmse000145
SA:3617,SU:872,,,,,,,bmse000637,GISSMO,bmse000637
SA:3618,SU:146,,,,,,,bmse000179,GISSMO,bmse000179
SA:3619,SU:1444,,,,,,,bmse000609,GISSMO,bmse000609
SA:3620,SU:1502,,,,,,,bmse000147,GISSMO,bmse000147
SA:3621,SU:1946,,,,,,,bmse000621,GISSMO,bmse000621
SA:3622,SU:1994,,,,,,,bmse000635,GISSMO,bmse000635
SA:3623,SU:1632,,,,,,,bmse000153,GISSMO,bmse000153
SA:3624,SU:77,,,,,,,bmse000184,GISSMO,bmse000184
SA:3625,SU:54,,,,,,,bmse000190,GISSMO,bmse000190
